ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
989,A ARTE DE APRENDER ESCOLA EDUCACAO INFANTIL,RUA CANDIDO DA ROCHA,25,,08121-290,+55 11 6567-9982,,,,35801379,EP
990,AUGUSTO HELOI COLEGIO,RUA INACIO MONTEIRO,7339,,08490-000,+55 11 2555-5077,,,,35170458,EP
991,CEI PEQUENOS PENSADORES,R GIORGIO MORTARA,40,,08474-380,,,,,35482298,CR.P.CONV
992,NEYDY DE CAMPOS MELGES PROF,R MARGARIDA CARLOS DE ALBUQUERQUE,288,,08142-260,+55 11 2963-2567,+55 11 2963-8618,+55 11 2963-2567,e902597a@educacao.sp.gov.br,35902597,EE
993,WANDA OVIDIO GONCALVES PROFA EMEF,RUA ARISTIDES DE BASILE,18,,08111-730,+55 11 2569-1250,+55 11 2563-1020,,,35271159,EMEF
994,SERGIO PAULO MUNIZ PIMENTA CAPITAO,R GASPAR DE GODOI MOREIRA,19,,08121-590,+55 11 2963-2539,,,e910284a@educacao.sp.gov.br,35910284,EE
995,OLIVETTO ESCOLA DE EDUCACAO INFANTIL,R MARGARIDA CARLOS DE ALBUQUERQUE,70,,08142-260,+55 11 6569-3487,,,,35315291,EP
996,DULCE LEITE DA SILVA PROFA,R PAULO MARTINS GARRO,25,,08121-080,+55 11 2963-2653,+55 11 2963-0813,,e039135a@educacao.sp.gov.br,35039135,EE
997,TEXIMA CONJUNTO HABITACIONAL CEI,RUA HENRIQUE ABADIE,70,,08111-765,+55 11 2572-1728,,,,35280458,CEI DIRET
998,WILSON REIS SANTOS PROFESSOR EMEI,RUA FRANCISCO DE SOUTOMAIOR,SN,,08452-430,+55 11 2963-3379,+55 11 2563-1835,,,35280884,EMEI
999,LOURO ROSA EMEI,R LOURO-ROSA,18,B,08141-670,,,,,35447766,EMEI
1000,DALMO AMARAL MACHADO PROF EMEI,RUA JOAO CARLOS AMAT,15,,08111-760,+55 11 2567-3089,,,,35224224,EMEI
1001,JARDIM CAMARGO NOVO CRECHE MUNICIPAL,RUA SARAVA,40,,08121-180,+55 11 2572-2962,,,,35237279,CEI DIRET
1002,VEREDAS CENTRO DE EDUCACAO INFANTIL INDIRETA,R LOURO-ROSA,6,,08141-670,,,,,35449040,CEI INDIR
1003,JOAO DORIA DEPUTADO,RUA JOSE ALVES IRMAO,30,,08140-000,+55 11 2569-1714,,,e924829a@educacao.sp.gov.br,35924829,EE
1004,UMBERTO LUIZ D URSO DR,R MAGNOLIA AZUL,80,,08141-640,+55 11 2569-5324,,,e925196a@educacao.sp.gov.br,35925196,EE
1005,AUBE CARRAN COLEGIO,R TAPUIRANA,55 A,,08121-070,+55 11 2566-3000,,,,35129653,EP
1006,LUZIA BEZERRA CENTRO DE EDUCACAO INFANTIL,R ARNE RAGNAR ENGE,150,,08476-010,+55 11 2518-1602,+55 11 9942-3126,,,35444947,CR.P.CONV
1007,VEREDAS,RUA MAGNOLIA AZUL,92,,08141-640,+55 11 2567-2900,,,e079881a@educacao.sp.gov.br,35079881,EE
1008,SEQUENCIAL ESCOLA TECNICA,AV MARECHAL TITO,6048,,08115-000,+55 11 2156-1040,,,otavio@sequencialctp.com.br,35387411,EP
1009,ITAIM PAULISTA ESCOLA I CRECHE PRE,R JOAO DE MACEDO RIBEIRO,91,,08111-010,+55 11 2963-2729,,,,35268100,CR.P.CONV
1010,CANTINHO ENCANTADO CEI,RUA MIXIRA,197,,08141-530,+55 11 2156-7205,,,,35414426,CR.P.CONV
1011,LUCIANO MENDES DE ALMEIDA DOM CEI DIRETO,RUA GONCALO LOPES DE CAMARGO,28,,08450-560,+55 11 2554-4739,+55 11 2552-1482,,,35279336,CEI DIRET
1012,PEQUENO APRENDIZ CENTRO DE EDUCACAO INFANTIL,RUA GONCALO RIBEIRO CORCO,204,,08450-581,+55 11 2016-8404,,,,35435405,CR.P.CONV
1013,PARQUE VEREDAS JOAO ANTONIO DA SILVA CEU,R DANIEL MULLER,348,,08141-290,,,,,35455374,CEU CLEC
1014,PARQUE VEREDAS CEU EMEI,RUA DANIEL MULLER,347,,08141-290,+55 11 2563-6225,+55 11 2563-6221,,,35057903,CEU EMEI
1015,PARQUE VEREDAS CEU CEI,RUA DANIEL MULLER,347,,08141-290,+55 11 2563-6216,+55 11 2563-6215,,,35057915,CEU CEI
1016,MARIA CLARA MACHADO CEU EMEF,RUA DANIEL MULLER,347,,08141-290,+55 11 2563-6235,+55 11 2563-6232,,,35271160,CEU EMEF
1017,EDUCAR I CENTRO DE EDUCACAO INFANTIL,R JERONIMO VELOSO CUBAS,02,,08450-550,,,,,35410159,CR.P.CONV
1018,LAPIS DE COR CENTRO DE EDUCACAO INFANTIL,R TIBURCIO DE SOUSA,1550,,08140-000,+55 11 3494-5381,+55 11 2568-7912,,,35303148,CR.P.CONV
1019,QUALITATIVO COLEGIO,RUA SERRA DE LUIZ GOMES,35,,08190-500,+55 11 2586-1427,,,,35117648,EP
1020,MADRE PAULINA CEI,RUA ALEXANDRE DAVIDENKO,801,,08473-592,+55 11 2282-2245,+55 11 2964-5075,,,35282340,CEI DIRET
1021,IZABEL APARECIDA CRISTOVAO DA LUZ PROFA EMEF,R ANTONIO DE SOUZA AMORIM,SN,,08121-001,,,,,35408566,EMEF
1022,PEDRO GERALDO COSTA DEPUTADO,R FRANCISCO CAPARA,75,,08450-570,+55 11 2557-6069,+55 11 2961-2343,,e916754a@educacao.sp.gov.br,35916754,EE
1023,DARIO MONTEIRO DE BRITO PROF,R SALVADOR BALBINO DE MATOS,104,,08110-750,+55 11 2963-2617,,+55 11 2963-3789,e902603a@educacao.sp.gov.br,35902603,EE
1024,NOVA HARMONIA CENTRO DE EDUCACAO INFANTIL,R FELIPE BENICIO PAES LANDIM,237,,08142-375,+55 11 2556-5541,+55 11 8364-8189,,,35482365,CR.P.CONV
1025,CANTINHO DA TIA DORA CONVENIADO CENTRO DE EDUCACAO INFANTIL,R FRANCISCO CAPARA,131,,08450-570,+55 11 3485-3062,,,,35478885,CR.P.CONV
1026,JESUS E ESPERANCA CENTRO DE EDUCACAO INFANTIL,R ALEXANDRE DAVIDENKO,434,,08473-592,,,,,35447201,CR.P.CONV
1027,LIVIO XAVIER,R ANTONIO JOAO DE MEDEIROS,2040,,08140-060,+55 11 2963-1796,,,e914691a@educacao.sp.gov.br,35914691,EE
1028,RAFA GIRE IV CENTRO DE EDUCACAO INFANTIL CONVENIADA,R JOAO MACIEL BAIAO,229,,08450-530,,,,,35432878,CR.P.CONV
1029,DIAS GOMES EMEF,RUA ALDESIO PRATI,42,,08451-550,+55 11 2961-0086,+55 11 2554-4503,+55 11 2961-0086,,35243607,EMEF
1030,OSWALDO GAGLIARDI,RUA INACIO MONTEIRO,3206,,08490-000,+55 11 2555-4026,+55 11 2555-2766,,e908368a@educacao.sp.gov.br,35908368,EE
1031,JARDIM CAMARGO VELHO CRECHE MUNICIPAL,RUA FLORAI,322,,08120-460,+55 11 2561-5696,,,,35237224,CEI DIRET
1032,WILSON RACHID,AV ITAIM,SN,PREDIO,08110-840,+55 11 2963-8145,,+55 11 2963-8145,e923597a@educacao.sp.gov.br,35923597,EE
1033,MAILSON DELANE EMEF,RUA SALVADOR VIGANO,100,,08473-605,+55 11 2282-9577,,+55 11 2282-4000,,35207834,EMEF
1034,CONJUNTO HABITACIONAL BARRO BRANCO II C - EMEF,R ALFONSO ASTURARO,SN,,08473-591,,,,,35419357,EMEF
1035,RAUL NEMENZ PROF EMEI,RUA ALFONSO ASTURARO,SN,,08473-591,+55 11 2964-8027,+55 11 2282-3477,+55 11 2282-3477,,35280823,EMEI
1036,ALBERTO MENDES JUNIOR CAPITAO EMEI,RUA NOGUEIRA VIOTTI,452,,08120-300,+55 11 2567-8404,,,,35084300,EMEI
1037,MAOS ESTENDIDAS CENTRO DE EDUCACAO INFANTIL,RUA EDUARDO MOURA,39,,08470-620,+55 11 2862-3943,,,,35444637,CR.P.CONV
1038,CHACARA DONA OLIVIA CRECHE MUNICIPAL,AV PEREIRA DE FARO,359,,08141-350,+55 11 2561-5696,,,,35237231,CEI DIRET
1039,GESSY GEBARA PROFA EMEI,RUA CACHOEIRA DAS GARCAS,SN,,08473-010,+55 11 2555-4182,+55 11 2555-4165,+55 11 2555-4165,,35207858,EMEI
1040,TUGUINHA II CENTRO DE EDUCACAO INFANTIL CONVENIADA,RUA EDMUNDO AUDRAN,163,,08473-532,+55 11 2557-5144,,,,35431539,CR.P.CONV
1041,VOVO NINA CENTRO DE EDUCACAO INFANTIL,R FREITAS DE AZEVEDO,36,,08450-540,+55 11 2554-4599,,,,35472335,CR.P.CONV
1042,EZEQUIEL RAMOS JUNIOR EMEF,RUA JOSE BORGES DO CANTO,18,,08142-010,+55 11 2567-3420,,,,35055633,EMEF
1043,MATTATHIAS GOMES DOS SANTOS REV,R MANUEL DUARTE FERRO,SN,,08190-470,+55 11 2581-4717,+55 11 2581-6602,+55 11 2581-4717,e043734a@educacao.sp.gov.br,35043734,EE
1044,ESTRELA DO MAR CENTRO DE EDUCACAO INFANTIL,R CONJUNTO SITIO CONCEICAO,133,,08473-090,,,,,35443281,CR.P.CONV
1045,ALICE APARECIDA DE SOUZA PROFA CEI,RUA EDMUNDO ORIOLLI,430,,08470-600,+55 11 2285-3776,+55 11 2559-2201,+55 11 2285-3776,,35282339,CEI DIRET
1046,SITIO CONCEICAO CRECHE,RUA WILSON FERNANDO S CARVALHO,215,,08473-000,+55 11 2555-2484,+55 11 2555-0550,,,35181869,CEI INDIR
1047,BARRO BRANCO II,RUA EDUARDO REUTER,415B,,08473-533,+55 11 2558-3595,+55 11 2285-6811,,e926048a@educacao.sp.gov.br,35926048,EE
1048,CANTINHO DA AMAC CENTRO DE EDUCACAO INFANTIL,R EDUARDO REUTER,410,,08473-533,+55 11 2282-6990,,,,35311467,CEI INDIR
1049,OLHAR ANGELICAL CENTRO DE EDUCACAO INFANTIL,RUA FRANCISCO DE SOUTOMAIOR,315,,08452-430,+55 11 2156-7234,,,,35442835,CR.P.CONV
1050,KLAUS REINACH ENG EMEI,RUA JOSE FRANCISCO BRANDAO,390,,08470-790,+55 11 2282-0347,+55 11 2964-8046,,,35092721,EMEI
1051,AURELIANO LEITE EMEF,RUA JOSE FCO BRANDAO,370,,08470-790,+55 11 2964-8191,+55 11 2964-8045,+55 11 2516-0356,,35092964,EMEF
1052,CENTRO DE ATEND SOCIOEDUC AO ADOLESC GUAIANAZES I UI,R JULIO GOUVEIA,SN,,08465-009,+55 11 3468-8928,,,,35392832,FEBEM-UI
1053,CENTRO DE ATEND SOCIOEDUC AO ADOLESC GUAIANAZES II UI,R JULIO GOUVEIA,SN,,08465-009,+55 11 3468-8910,,,,35392873,FEBEM-UI
1054,CASA DE ISABEL CENTRO DE EDUCACAO INFANTIL,RUA PROFESSOR ZEFERINO FERRAZ,503,,08120-380,+55 11 2562-9943,,,,35195030,CR.P.CONV
1055,RONALDO VANDERLEI GONDIM CRECHE PARTICULAR CONVENIADA,R INACIO MONTEIRO,6020,,08490-000,,,,,35438613,CR.P.CONV
1056,JOEL FERNANDES DE SOUZA EMEF,RUA CONJUNTO SITIO CONCEICAO,SN,,08473-090,+55 11 2555-2667,+55 11 2555-2375,,,35419394,EMEF
1057,NEGREIROS COLEGIO,R PROFESSOR ZEFERINO FERRAZ,487,,08120-380,+55 11 2562-0574,,,,35482079,EP
1058,ELIAS SHAMMASS EMEF,R DO PAI NOSSO,7,,08473-020,,+55 11 2518-1164,,,35078773,EMEF
1059,NILDO DO AMARAL JUNIOR PADRE EMEF,RUA ANTONIO JOAO DE MEDEIROS,1901,,08140-060,+55 11 2567-4538,,,,35068688,EMEF
1060,LUCILIA DE ANDRADE FERREIRA PROFA EMEI,RUA CACHOEIRA TRIUNFO,55,,08475-080,+55 11 2282-0031,+55 11 2282-4326,+55 11 2282-4326,,35207846,EMEI
1061,CORACAO DE JESUS CRECHE,R ARAMACA,188,,08190-410,,,,,35299066,CR.P.CONV
1062,FLAVIO AUGUSTO ROSA PROF EMEF,RUA GRUTA DAS PRINCESAS,165-A,,08190-460,+55 11 2581-1398,+55 11 2581-1786,,,35062790,EMEF
1063,MARIA DE LOURDES LIMA CEI,R DOS PENSAMENTOS POETICOS,15,,08473-040,+55 11 2555-4940,,,,35443761,CR.P.CONV
1064,BARBARA HELIODORA CRECHE MUNICIPAL,RUA JOSE FRANCISCO BRANDAO,80,,08470-790,+55 11 2282-1142,+55 11 2282-1618,,,35237565,CEI DIRET
1065,BRENO DI GRADO PROF,R MANUEL ALVARES PIMENTEL,801,,08141-000,+55 11 2963-1795,+55 11 2963-3406,+55 11 2963-3406,e915701a@educacao.sp.gov.br,35915701,EE
1066,ESPACO KAIROS CENTRO DE EDUCACAO INFANTIL,R JOANIENES SOBRINHO,43,,08452-100,+55 11 2557-1305,,,,35478581,CR.P.CONV
1067,VOVO PININHA CENTRO DE EDUCACAO INFANTIL,R CESARE POLLINI,204,,08452-432,,,,,35482389,CR.P.CONV
1068,SITIO CONCEICAO,R WILSON FERNANDO S.CARVALHO,35,,08473-000,+55 11 2518-4578,,,e438112a@educacao.sp.gov.br,35438112,EE
1069,ENCANTADO II CENTRO DE EDUCACAO INFANTIL,R JOAO DE SIQUEIRA AFONSO,662,,08452-000,,,,,35447134,CR.P.CONV
1070,CONSTRUINDO O SABER CENTRO DE EDUCACAO INFANTIL,R TIBURCIO DE SOUSA,1601,,08140-000,+55 11 2561-8316,,,ceiconstruindoosaber@yahoo.com.br,35434978,CR.P.CONV
1071,GUERRA JUNQUEIRO,R FLORIANO ARRESTI,52,,08465-220,+55 11 2555-5361,+55 11 2555-2444,,e904314a@educacao.sp.gov.br,35904314,EE
1072,SANTA HELENA CENTRO EDUCACIONAL,R SARDOA,04,,08120-440,+55 11 2568-1011,,,contato@santahelenacursos.com.br,35300457,EP
1073,JARDIM WILMA FLOR,R WILMA FLOR,SN,,08473-440,+55 11 2555-4255,+55 11 2555-3928,,e922900a@educacao.sp.gov.br,35922900,EE
1074,SOSSEGO DA MAMAE CRECHE PARTICULAR CONVENIADA,R ANTONIO CARLOS MINGUES LOPES,1532,,08473-270,+55 11 3808-7565,,,,35433378,CR.P.CONV
1075,LUCIANE DO ESPIRITO SANTO PROFA,R FRANCISCO FERNANDES FRAZAO,22,,08452-180,+55 11 2961-2010,,+55 11 2961-6695,e923527a@educacao.sp.gov.br,35923527,EE
1076,JARDIM SAO JORGE CRECHE LAJEADO,R CECILIO MENDES PEREIRA,212,,08142-410,,,,,35181812,CEI INDIR
1077,LUZ DA SABEDORIA CENTRO DE EDUCACAO INFANTIL,RUA FECHO DOS MORROS,300,,08120-230,+55 11 2272-4226,,,,35434528,CR.P.CONV
1078,CAPISTRANO DE ABREU EMEF,RUA MANUEL MARTINS DE MELO,608,,08190-340,+55 11 2581-0906,,,,35055612,EMEF
1079,CAMILO CASTELO BRANCO,R EDMUNDO ORIOLI,85,,08470-600,+55 11 2282-0090,+55 11 2282-1750,,e906177a@educacao.sp.gov.br,35906177,EE
1080,NOSSA SENHORA DE LOURDES CRECHE,RUA GUEDES DE BRITO,45,,08452-480,+55 11 2963-0983,,+55 11 6569-0592,,35181808,CEI INDIR
1081,RAFA GIRE II CENTRO DE EDUCACAO INFANTIL,RUA ARCO IRIS,141,,08466-050,+55 11 2552-6932,,,,35434826,CR.P.CONV
1082,CEI BOLINHAS DE SABAO,TV AUGUSTO FREDERICO SCHMIDT,13,,08473-551,+55 11 3105-2809,,,,35445046,CR.P.CONV
1083,CARLOS PASQUALE PROF EMEF,RUA BARAO DE ALAGOAS,223,,08120-000,+55 11 2567-8429,,,,35055724,EMEF
1084,ITAIM PAULISTA ESCOLA II CRECHE PRE,R ANTONIO JOAO DE MEDEIROS,1281,,08140-060,+55 11 2963-2627,,,,35268112,CR.P.CONV
1085,RA TIBUM II ESCOLA DE EDUCACAO INFANTIL,RUA FRANCISCO MATOSO,210,,08141-040,+55 11 2566-7828,,,,35432544,EP
1086,FUNDAMENTAL KIDS ESCOLA DE EDUCACAO INFANTIL,RUA ALTO JURUA,200,,08143-310,+55 11 2712-1799,,,,35432532,EP
1087,ARTE DE CONHECER ESCOLA,R PROFESSOR ZEFERINO FERRAZ,123,135,08120-380,+55 11 2566-0899,,+55 11 2566-2885,,35129008,EP
1088,MARIUMA BUAZAR MAUAD,RUA PADRE ALDEMAR MOREIRA,461,,08471-010,+55 11 2282-0525,+55 11 2964-2357,+55 11 2282-0525,e904296a@educacao.sp.gov.br,35904296,EE
1089,VOVO MARLENE III CENTRO DE EDUCACAO INFANTIL,R FRANCISCO FERNANDES FRAZAO,17,,08452-180,+55 11 2553-9497,,,,35472177,CR.P.CONV
1090,BEM VIVER CEI INDIRETA,R CANCOES PRELUDIOS,26,,08120-170,+55 11 2963-0396,,,,35287313,CR.P.CONV
1091,TUQUINHA III CENTRO DE EDUCACAO INFANTIL,R ALFONSO ASTURARO,514,,08473-591,+55 11 2557-5144,+55 11 2557-6462,,,35443682,CR.P.CONV
1092,YASMIN VITORIA CENTRO DE EDUCACAO INFANTIL,R FRANCISCO DE GOES ARAUJO,151,,08452-490,,,,,35480666,CR.P.CONV
1093,CANTINHO DO CEU CENTRO DE EDUCACAO INFANTIL,R ARAMACA,50,,08190-410,+55 11 2156-2401,,,,35461660,CR.P.CONV
1094,JOSE AMADO DOS SANTOS CEI,RUA CASSUNUNGA,08,,08452-500,+55 11 2512-7832,,,,35432970,CR.P.CONV
1095,CASTELO ENCANTADO ER,RUA MANOEL MARTINS MELO,11,,08110-820,+55 11 6561-6779,,,,35801409,EP
1096,ANJINHO GUSTAVO CENTRO DE EDUCACAO INFANTIL,R JERONIMO BUENO,3,,08451-320,,,,,35438467,CR.P.CONV
1097,JOSE AUGUSTO CESAR SALGADO DR EMEF,RUA DOS TEXTEIS,2907,,08490-600,+55 11 2964-8345,+55 11 2282-2126,+55 11 2282-2126,,35092976,EMEF
1098,MARIA ANTONIETA FERRAZ BIBLIOTECARIA,R RAFAEL DELLA MONICA,300,,08470-480,+55 11 2964-2875,+55 11 2282-0464,+55 11 2282-0464,e904582a@educacao.sp.gov.br,35904582,EE
1099,VOVO AUGUSTA I CENTRO DE EDUCACAO INFANTIL,R GIBOIUCUS,217,,08451-300,+55 11 2552-4893,,,,35470879,CR.P.CONV
1100,VOVO MARLENE IV CENTRO DE EDUCACAO INFANTIL,RUA FRANCISCO FERNANDES FRAZAO,130,,08452-180,+55 11 2553-9497,,,,35432283,CR.P.CONV
1101,O PEQUENO MUNDO DE ELLEN CENTRO DE EDUCACAO INFANTIL,RUA DOMINGOS LEITAO,3,,08452-220,+55 11 3462-8658,+55 11 2772-5781,,,35388245,CR.P.CONV
1102,MEGA VISAO COLEGIO,RUA TIBURCIO DE SOUZA 1120,1204,,08140-000,+55 11 2963-1599,,,,35801380,EP
1103,CANTINHO DE LUZ CENTRO DE EDUCACAO INFANTIL,R MANDAGUACU,78,,08120-410,+55 11 96343-4592,,,,35488215,CR.P.CONV
1104,SONHO MAGICO CENTRO DE EDUCACAO INFANTIL,RUA DO CONVENTO,69,,08120-160,+55 11 3678-1378,,,,35385585,CR.P.CONV
1105,AMAC II CEI PARTICULAR CONVENIADA,RUA DOUTOR LOURENCO DE MENDONCA,107,,08452-330,+55 11 2552-4976,,,,35407975,CR.P.CONV
1106,SONHO MAGICO II CENTRO DE EDUCACAO INFANTIL,R DO CONVENTO,51,,08120-160,,,,,35495612,CR.P.CONV
1107,VICTORINO COLEGIO,RUA TIBURCIO DE SOUZA,1242,,08140-000,+55 11 2572-3183,+55 11 2572-3006,,,35808210,EP
1108,SAO MIGUEL ARCANJO CENTRO DE EDUCACAO INFANTIL,TRAVESSA HENRIQUE ALVIM CORREIA,04,,08473-475,+55 11 9442-1263,,,,35478040,CR.P.CONV
1109,ALCEU GUERNER GONZALEZ PROF,R CORNELIO DE ARZAO,1786,,08140-550,+55 11 2963-2521,+55 11 2963-3881,+55 11 2963-2521,e038118a@educacao.sp.gov.br,35038118,EE
1110,VILMA FLOR CEI,R WILMA FLOR,394,,08473-440,,,,,35441659,CR.P.CONV
1111,QUIRINO CARNEIRO RENNO EMEF,RUA CAMARGO E LEME,78,,08460-480,+55 11 2554-4519,+55 11 2557-9181,,,35068743,EMEF
1112,FLOR DE LIS CENTRO DE EDUCACAO INFANTIL,R ANTONIO SOARES PAIS,389,,08460-500,+55 11 2552-8110,,,,35443700,CR.P.CONV
1113,RATIBUM ESCOLA DE EDUCACAO INFANTIL,R VALENTE DE NOVAIS,112,,08120-420,+55 11 6963-8866,,,,35315382,EP
1114,QUERUBINS DA VITORIA CENTRO DE EDUCACAO INFANTIL,RUA ANTONIO ARAUJO,10,,08471-670,+55 11 2153-7194,,,,35443918,CR.P.CONV
1115,CAMINHO DO SOL CENTRO DE EDUCACAO INFANTIL,R FLORIDO SILVESTRI,15,,08465-170,+55 11 2518-7151,,,,35441491,CR.P.CONV
1116,CONJUNTO HABITACIONAL SANTA ETELVINA VI CEI,R DOS TEXTEIS,2155,,08490-585,+55 11 2282-4729,,,,35481944,CEI INDIR
1117,CEU ESTRELADO CENTRO DE EDUCACAO INFANTIL,R ALFREDO DA RESSURREICAO RABACAL,178,,08465-080,+55 11 2553-4095,,,,35439277,CR.P.CONV
1118,JUSCELINO KUBITSCHEK DE OLIVEIRA PRES EMEF,RUA JORGE MARACCINI PONFILIO,60,,08465-050,+55 11 2555-5752,+55 11 2555-4153,+55 11 2555-4153,,35092745,EMEF
1119,MARIA APARECIDA MAGNANELLI FERNANDES PROFA EMEF,TV SILVIO CALDAS,SN,,08473-463,,,,,35434152,EMEF
1120,SABERES ETERNO CENTRO DE EDUCACAO INFANTIL,R ENG MARIO SAVELLI,82,,08465-060,,,,,35443335,CR.P.CONV
1121,CASINHA DA VOVO CEI,R INACIO DE OLIVEIRA CAMPOS,26,,08450-450,,,,,35432921,CR.P.CONV
1122,ESPERANCA CRECHE PARTICULAR CONVENIADA,RUA CARDOSO DE ABREU,63,JARDIM SOARES,08460-160,+55 11 3808-5929,+55 11 2016-8085,+55 11 3495-1814,,35363091,CR.P.CONV
1123,BALBINA NETTO VELLOSO PROFA,R FRANCISCO FERNANDES FRAZAO,37,,08452-180,+55 11 2557-0154,+55 11 2961-1396,+55 11 2557-0154,e003281a@educacao.sp.gov.br,35003281,EE
1124,VILA YOLANDA IV,RUA FRANCISCO FERNANDES FRAZAO,37,,08115-100,+55 11 2016-9079,,,e483643a@educacao.sp.gov.br,35483643,EE
1125,TIA QUITERIA CENTRO DE EDUCACAO INFANTIL,R CARDOSO DE ABREU,82,,08460-160,,,,,35445022,CR.P.CONV
1126,OLINDA MENEZES VIDAL PROFA EMEF,RUA VARZEA NOVA,40,,08475-420,+55 11 2964-8537,+55 11 2282-6500,+55 11 2282-2264,,35074731,EMEF
1127,PAULO CAMILHIER FLORENCANO EMEI,RUA FELICIANO DE MENDONCA,502,,08460-365,+55 11 2557-1947,+55 11 2557-8348,+55 11 2557-1947,,35098711,EMEI
1128,VOVO AUGUSTA II CENTRO DE EDUCACAO INFANTIL,R JOAO DA SILVA AGUIAR,364,,08452-250,+55 11 2552-5074,,,,35470971,CR.P.CONV
1129,ADHEMAR FERREIRA DA SILVA CEI DIRETO,RUA ANTONIO CARLOS MINGUES LOPES,SN,,08473-270,+55 11 2964-2166,+55 11 2964-2307,+55 11 2964-2307,,35279250,CEI DIRET
1130,JARDIM EVA CRECHE MUNICIPAL,RUA UBAI,14,,08143-070,+55 11 2572-2256,,,,35237097,CEI DIRET
1131,VLADIMIR HERZOG EMEF,R FRANCISCO JOSE VIANA,894,,08471-533,+55 11 2282-1355,+55 11 2282-1297,+55 11 2282-1355,,35091418,EMEF
1132,SO VITORIA CEI CONVENIADA,R ROSA DO ULTRAMAR,7,,08451-240,+55 11 3105-2809,,,,35445034,CR.P.CONV
1133,BERNARDIM RIBEIRO,AV UTARO KANAI,501,,08465-000,+55 11 2555-2814,+55 11 2555-2583,+55 11 2555-2814,e906189a@educacao.sp.gov.br,35906189,EE
1134,PEQUENOS BRILHANTES CENTRO DE EDUCACAO INFANTIL,R FRANCISCO JOSE VIANA,764,,08471-533,+55 11 2558-1731,,,,35806912,CEI INDIR
1135,JARDIM SAO PAULO CRECHE MUNICIPAL,RUA FELICIANO DE MENDONCA,500,,08460-365,+55 11 2557-0343,+55 11 2960-0927,,,35237371,CEI DIRET
1136,MARIA CONCEICAO IMACULADA COLEGIO FUNDAMENTAL,RUA PARAU,36 A,,08120-060,+55 11 2562-2277,,,,35163259,EP
1137,JARDIM WILMA FLOR CENTRO DE EDUCACAO INFANTIL,R NOVA GUAIANAZES,1004,,08473-001,,,,,35477898,CEI INDIR
1138,ASTRIDES GONDIM DE SOUZA CRECHE PARTICULAR CONVENIADA,R MAURO DE ALMEIDA,10,,08471-430,,,,,35438364,CR.P.CONV
1139,COHAB INACIO MONTEIRO III,R IGARAPE DA BELA AURORA,435,,08472-200,+55 11 2555-3366,+55 11 2555-6402,+55 11 2555-3366,e922912a@educacao.sp.gov.br,35922912,EE
1140,ZACARIAS MAURO FACCIO GONCALVES CRECHE MUNICIPAL,RUA CAVALEIRO DE JORGE,300,,08474-210,+55 11 2282-7424,+55 11 2282-1380,,,35237632,CEI DIRET
1141,ROQUE THEOPHILO,R CAVALEIRO DE JORGE,280,,08474-210,+55 11 2516-8081,+55 11 2285-0901,,e268276a@educacao.sp.gov.br,35268276,EE
1142,CHARLES DE GAULLE,RUA ANTONIO JOAO MEDEIROS,810,,08140-060,+55 11 2963-2637,,,e039123a@educacao.sp.gov.br,35039123,EE
1143,REPUBLICA DO SURINAME,R ANTONIO JOAO DE MEDEIROS,810,A,08140-060,+55 11 2963-8333,,,e923990a@educacao.sp.gov.br,35923990,EE
1144,LAJEADO CENTRO DE EDUCACAO INFANTIL,R JOAO DA SILVA AGUIAR,1003,,08452-250,+55 11 3987-2177,,,,35390598,CEI INDIR
1145,CARLOTA PEREIRA QUEIROZ EMEI,RUA FERNANDO GANGA,25,,08471-100,+55 11 2516-0405,+55 11 2282-4070,+55 11 2516-0405,,35091388,EMEI
1146,JOSE ROBERTO DE CASTRO RIBEIRO PROF EMEI,RUA ENG CARLO GRAZIA,120,,08475-410,+55 11 2282-3044,+55 11 2964-9395,+55 11 2964-9395,,35074718,EMEI
1147,JOCELYNE GUIMARAES FERNANDES DE MELLO CRECHE MUNICIPAL,AV UTARO KANAI,280,,08465-000,+55 11 2555-5850,+55 11 2555-2577,+55 11 2555-5850,,35237590,CEI DIRET
1148,ERNESTINA DEL BUONO TRAMA PROFESSORA,R FELICIANO DE MENDONCA,418,,08460-365,+55 11 2557-9399,+55 11 2551-9286,+55 11 2557-9399,e037084a@educacao.sp.gov.br,35037084,EE
1149,BEIJA FLOR CEI,R HOMERO DE SOUZA CAMPOS,35,,08452-280,+55 11 2016-7725,,,,35455209,CR.P.CONV
1150,MARIELCIA FLORENCIO DE MORAIS PROFA CEI,RUA CRISTIANO LOBE,200,,08475-340,+55 11 2964-4455,+55 11 2964-0942,+55 11 2964-4455,,35279286,CEI DIRET
1151,MARIA AUGUSTA DE PAULA PROFA CEI,RUA DOS PEDREIROS,135,,08471-330,+55 11 2282-0992,+55 11 2964-0414,,,35237607,CEI DIRET
1152,REFERENCIA CENTRO DE EDUCACAO INFANTIL,RUA TINGUI DA PRAIA,02,,08452-635,,,,,35458041,CR.P.CONV
1153,GUAIANAZES ETEC,RUA FELICIANO DE MENDONCA,290,,08460-365,+55 11 2551-9484,,+55 11 2552-0140,ete_guaianazes@yahoo.com.br,35072552,PAULA SOUZA
